"parents","n","labels","id"
"Chile",71,"Animation","Chile  -  Animation"
"Chile",4,"Biography","Chile  -  Biography"
"Chile",199,"Comedy","Chile  -  Comedy"
"Chile",100,"Crime","Chile  -  Crime"
"Chile",20,"Documentary","Chile  -  Documentary"
"Chile",343,"Drama","Chile  -  Drama"
"Chile",16,"Family","Chile  -  Family"
"Chile",21,"Fantasy","Chile  -  Fantasy"
"Chile",5,"History","Chile  -  History"
"Chile",30,"Horror","Chile  -  Horror"
"Chile",36,"Music","Chile  -  Music"
"Chile",43,"Mystery","Chile  -  Mystery"
"Chile",2,"Reality TV","Chile  -  Reality TV"
"Chile",123,"Romance","Chile  -  Romance"
"Chile",17,"Sci Fi","Chile  -  Sci Fi"
"Chile",2,"Short","Chile  -  Short"
"Chile",7,"Sport","Chile  -  Sport"
"Chile",56,"Thriller","Chile  -  Thriller"
"Chile",3,"War","Chile  -  War"
"Chile",3,"Western","Chile  -  Western"
"Colombia",145,"Action","Colombia  -  Action"
"Colombia",105,"Adventure","Colombia  -  Adventure"
"Colombia",58,"Animation","Colombia  -  Animation"
"Colombia",5,"Biography","Colombia  -  Biography"
"Colombia",197,"Comedy","Colombia  -  Comedy"
"Colombia",108,"Crime","Colombia  -  Crime"
"Colombia",40,"Documentary","Colombia  -  Documentary"
"Colombia",302,"Drama","Colombia  -  Drama"
"Colombia",18,"Family","Colombia  -  Family"
"Colombia",25,"Fantasy","Colombia  -  Fantasy"
"Colombia",4,"History","Colombia  -  History"
"Colombia",30,"Horror","Colombia  -  Horror"
"Colombia",18,"Music","Colombia  -  Music"
"Colombia",4,"Musical","Colombia  -  Musical"
"Colombia",45,"Mystery","Colombia  -  Mystery"
"Colombia",3,"Reality TV","Colombia  -  Reality TV"
"Colombia",109,"Romance","Colombia  -  Romance"
"Colombia",15,"Sci Fi","Colombia  -  Sci Fi"
"Colombia",2,"Short","Colombia  -  Short"
"Colombia",6,"Sport","Colombia  -  Sport"
"Colombia",72,"Thriller","Colombia  -  Thriller"
"Colombia",2,"War","Colombia  -  War"
"Colombia",4,"Western","Colombia  -  Western"
"Costa Rica",126,"Action","Costa Rica  -  Action"
"Costa Rica",95,"Adventure","Costa Rica  -  Adventure"
"Costa Rica",57,"Animation","Costa Rica  -  Animation"
"Costa Rica",6,"Biography","Costa Rica  -  Biography"
"Costa Rica",204,"Comedy","Costa Rica  -  Comedy"
"Costa Rica",98,"Crime","Costa Rica  -  Crime"
"Costa Rica",24,"Documentary","Costa Rica  -  Documentary"
"Costa Rica",334,"Drama","Costa Rica  -  Drama"
"Costa Rica",19,"Family","Costa Rica  -  Family"
"Costa Rica",18,"Fantasy","Costa Rica  -  Fantasy"
"Costa Rica",1,"Game Show","Costa Rica  -  Game Show"
"Costa Rica",4,"History","Costa Rica  -  History"
"Costa Rica",33,"Horror","Costa Rica  -  Horror"
"Costa Rica",33,"Music","Costa Rica  -  Music"
"Costa Rica",41,"Mystery","Costa Rica  -  Mystery"
"Costa Rica",4,"Reality TV","Costa Rica  -  Reality TV"
"Costa Rica",131,"Romance","Costa Rica  -  Romance"
"Costa Rica",15,"Sci Fi","Costa Rica  -  Sci Fi"
"Costa Rica",2,"Short","Costa Rica  -  Short"
"Costa Rica",8,"Sport","Costa Rica  -  Sport"
"Costa Rica",68,"Thriller","Costa Rica  -  Thriller"
"Costa Rica",2,"War","Costa Rica  -  War"
"Costa Rica",4,"Western","Costa Rica  -  Western"
"Croatia",176,"Action","Croatia  -  Action"
"Croatia",115,"Adventure","Croatia  -  Adventure"
"Croatia",49,"Animation","Croatia  -  Animation"
"Croatia",8,"Biography","Croatia  -  Biography"
"Croatia",206,"Comedy","Croatia  -  Comedy"
"Croatia",142,"Crime","Croatia  -  Crime"
"Croatia",43,"Documentary","Croatia  -  Documentary"
"Croatia",309,"Drama","Croatia  -  Drama"
"Croatia",21,"Family","Croatia  -  Family"
"Croatia",25,"Fantasy","Croatia  -  Fantasy"
"Croatia",10,"Game Show","Croatia  -  Game Show"
"Croatia",2,"History","Croatia  -  History"
"Croatia",24,"Horror","Croatia  -  Horror"
"Croatia",3,"Music","Croatia  -  Music"
"Croatia",46,"Mystery","Croatia  -  Mystery"
"Croatia",14,"Reality TV","Croatia  -  Reality TV"
"Croatia",89,"Romance","Croatia  -  Romance"
"Croatia",15,"Sci Fi","Croatia  -  Sci Fi"
"Croatia",4,"Short","Croatia  -  Short"
"Croatia",14,"Sport","Croatia  -  Sport"
"Croatia",1,"Talk Show","Croatia  -  Talk Show"
"Croatia",59,"Thriller","Croatia  -  Thriller"
"Croatia",4,"War","Croatia  -  War"
"Croatia",10,"Western","Croatia  -  Western"
"Cyprus",203,"Action","Cyprus  -  Action"
"Cyprus",133,"Adventure","Cyprus  -  Adventure"
"Cyprus",46,"Animation","Cyprus  -  Animation"
"Cyprus",5,"Biography","Cyprus  -  Biography"
"Cyprus",192,"Comedy","Cyprus  -  Comedy"
"Cyprus",129,"Crime","Cyprus  -  Crime"
"Cyprus",30,"Documentary","Cyprus  -  Documentary"
"Cyprus",356,"Drama","Cyprus  -  Drama"
"Cyprus",27,"Family","Cyprus  -  Family"
"Cyprus",28,"Fantasy","Cyprus  -  Fantasy"
"Cyprus",8,"Game Show","Cyprus  -  Game Show"
"Cyprus",6,"History","Cyprus  -  History"
"Cyprus",22,"Horror","Cyprus  -  Horror"
"Cyprus",2,"Music","Cyprus  -  Music"
"Cyprus",3,"Musical","Cyprus  -  Musical"
"Cyprus",49,"Mystery","Cyprus  -  Mystery"
"Cyprus",12,"Reality TV","Cyprus  -  Reality TV"
"Cyprus",87,"Romance","Cyprus  -  Romance"
"Cyprus",47,"Sci Fi","Cyprus  -  Sci Fi"
"Cyprus",7,"Short","Cyprus  -  Short"
"Cyprus",10,"Sport","Cyprus  -  Sport"
"Cyprus",51,"Thriller","Cyprus  -  Thriller"
"Cyprus",5,"War","Cyprus  -  War"
"Cyprus",5,"Western","Cyprus  -  Western"
"Czech Republic",201,"Action","Czech Republic  -  Action"
"Czech Republic",5,"Adult","Czech Republic  -  Adult"
"Czech Republic",151,"Adventure","Czech Republic  -  Adventure"
"Czech Republic",79,"Animation","Czech Republic  -  Animation"
"Czech Republic",14,"Biography","Czech Republic  -  Biography"
"Czech Republic",188,"Comedy","Czech Republic  -  Comedy"
"Czech Republic",140,"Crime","Czech Republic  -  Crime"
"Czech Republic",43,"Documentary","Czech Republic  -  Documentary"
"Czech Republic",302,"Drama","Czech Republic  -  Drama"
"Czech Republic",20,"Family","Czech Republic  -  Family"
"Czech Republic",46,"Fantasy","Czech Republic  -  Fantasy"
"Czech Republic",12,"Game Show","Czech Republic  -  Game Show"
"Czech Republic",7,"History","Czech Republic  -  History"
"Czech Republic",33,"Horror","Czech Republic  -  Horror"
"Czech Republic",2,"Music","Czech Republic  -  Music"
"Czech Republic",50,"Mystery","Czech Republic  -  Mystery"
"Czech Republic",16,"Reality TV","Czech Republic  -  Reality TV"
"Czech Republic",66,"Romance","Czech Republic  -  Romance"
"Czech Republic",14,"Sci Fi","Czech Republic  -  Sci Fi"
"Czech Republic",3,"Short","Czech Republic  -  Short"
"Czech Republic",12,"Sport","Czech Republic  -  Sport"
"Czech Republic",44,"Thriller","Czech Republic  -  Thriller"
"Czech Republic",3,"War","Czech Republic  -  War"
"Czech Republic",7,"Western","Czech Republic  -  Western"
"Denmark",192,"Action","Denmark  -  Action"
"Denmark",123,"Adventure","Denmark  -  Adventure"
"Denmark",54,"Animation","Denmark  -  Animation"
"Denmark",12,"Biography","Denmark  -  Biography"
"Denmark",182,"Comedy","Denmark  -  Comedy"
"Denmark",152,"Crime","Denmark  -  Crime"
"Denmark",34,"Documentary","Denmark  -  Documentary"
"Denmark",333,"Drama","Denmark  -  Drama"
"Denmark",17,"Family","Denmark  -  Family"
"Denmark",38,"Fantasy","Denmark  -  Fantasy"
"Denmark",11,"Game Show","Denmark  -  Game Show"
"Denmark",11,"History","Denmark  -  History"
"Denmark",23,"Horror","Denmark  -  Horror"
"Denmark",1,"Music","Denmark  -  Music"
"Denmark",2,"Musical","Denmark  -  Musical"
"Denmark",53,"Mystery","Denmark  -  Mystery"
"Denmark",23,"Reality TV","Denmark  -  Reality TV"
"Denmark",85,"Romance","Denmark  -  Romance"
"Denmark",25,"Sci Fi","Denmark  -  Sci Fi"
"Denmark",4,"Short","Denmark  -  Short"
"Denmark",12,"Sport","Denmark  -  Sport"
"Denmark",51,"Thriller","Denmark  -  Thriller"
"Denmark",10,"War","Denmark  -  War"
"Denmark",10,"Western","Denmark  -  Western"
"Dominican Republic",175,"Action","Dominican Republic  -  Action"
"Dominican Republic",108,"Adventure","Dominican Republic  -  Adventure"
"Dominican Republic",51,"Animation","Dominican Republic  -  Animation"
"Dominican Republic",3,"Biography","Dominican Republic  -  Biography"
"Dominican Republic",160,"Comedy","Dominican Republic  -  Comedy"
"Dominican Republic",117,"Crime","Dominican Republic  -  Crime"
"Dominican Republic",19,"Documentary","Dominican Republic  -  Documentary"
"Dominican Republic",294,"Drama","Dominican Republic  -  Drama"
"Dominican Republic",20,"Family","Dominican Republic  -  Family"
"Dominican Republic",34,"Fantasy","Dominican Republic  -  Fantasy"
"Dominican Republic",2,"Game Show","Dominican Republic  -  Game Show"
"Dominican Republic",4,"History","Dominican Republic  -  History"
"Dominican Republic",32,"Horror","Dominican Republic  -  Horror"
"Dominican Republic",34,"Music","Dominican Republic  -  Music"
"Dominican Republic",2,"Musical","Dominican Republic  -  Musical"
"Dominican Republic",38,"Mystery","Dominican Republic  -  Mystery"
"Dominican Republic",3,"Reality TV","Dominican Republic  -  Reality TV"
"Dominican Republic",83,"Romance","Dominican Republic  -  Romance"
"Dominican Republic",18,"Sci Fi","Dominican Republic  -  Sci Fi"
"Dominican Republic",2,"Short","Dominican Republic  -  Short"
"Dominican Republic",8,"Sport","Dominican Republic  -  Sport"
"Dominican Republic",69,"Thriller","Dominican Republic  -  Thriller"
"Dominican Republic",2,"War","Dominican Republic  -  War"
"Dominican Republic",3,"Western","Dominican Republic  -  Western"
"Ecuador",147,"Action","Ecuador  -  Action"
"Ecuador",118,"Adventure","Ecuador  -  Adventure"
