"label","n","parent","id"
"Ecuador",3,"Reality TV","Reality TV  -  Ecuador"
"Ecuador",101,"Romance","Romance  -  Ecuador"
"Ecuador",19,"Sci Fi","Sci Fi  -  Ecuador"
"Ecuador",7,"Sport","Sport  -  Ecuador"
"Ecuador",61,"Thriller","Thriller  -  Ecuador"
"Ecuador",2,"War","War  -  Ecuador"
"Ecuador",3,"Western","Western  -  Ecuador"
"Egypt",202,"Action","Action  -  Egypt"
"Egypt",106,"Adventure","Adventure  -  Egypt"
"Egypt",52,"Animation","Animation  -  Egypt"
"Egypt",11,"Biography","Biography  -  Egypt"
"Egypt",186,"Comedy","Comedy  -  Egypt"
"Egypt",118,"Crime","Crime  -  Egypt"
"Egypt",27,"Documentary","Documentary  -  Egypt"
"Egypt",342,"Drama","Drama  -  Egypt"
"Egypt",16,"Family","Family  -  Egypt"
"Egypt",32,"Fantasy","Fantasy  -  Egypt"
"Egypt",4,"Game Show","Game Show  -  Egypt"
"Egypt",8,"History","History  -  Egypt"
"Egypt",32,"Horror","Horror  -  Egypt"
"Egypt",1,"Music","Music  -  Egypt"
"Egypt",1,"Musical","Musical  -  Egypt"
"Egypt",41,"Mystery","Mystery  -  Egypt"
"Egypt",6,"Reality TV","Reality TV  -  Egypt"
"Egypt",88,"Romance","Romance  -  Egypt"
"Egypt",28,"Sci Fi","Sci Fi  -  Egypt"
"Egypt",19,"Short","Short  -  Egypt"
"Egypt",3,"Sport","Sport  -  Egypt"
"Egypt",62,"Thriller","Thriller  -  Egypt"
"Egypt",4,"War","War  -  Egypt"
"Egypt",8,"Western","Western  -  Egypt"
"El Salvador",138,"Action","Action  -  El Salvador"
"El Salvador",104,"Adventure","Adventure  -  El Salvador"
"El Salvador",63,"Animation","Animation  -  El Salvador"
"El Salvador",1,"Biography","Biography  -  El Salvador"
"El Salvador",193,"Comedy","Comedy  -  El Salvador"
"El Salvador",101,"Crime","Crime  -  El Salvador"
"El Salvador",15,"Documentary","Documentary  -  El Salvador"
"El Salvador",304,"Drama","Drama  -  El Salvador"
"El Salvador",14,"Family","Family  -  El Salvador"
"El Salvador",20,"Fantasy","Fantasy  -  El Salvador"
"El Salvador",1,"History","History  -  El Salvador"
"El Salvador",25,"Horror","Horror  -  El Salvador"
"El Salvador",32,"Music","Music  -  El Salvador"
"El Salvador",37,"Mystery","Mystery  -  El Salvador"
"El Salvador",2,"Reality TV","Reality TV  -  El Salvador"
