"id","n","label","parent"
"total  -  Drama  -  Israel",341,"Israel","total  -  Drama"
"total  -  Mystery  -  Israel",38,"Israel","total  -  Mystery"
"total  -  Romance  -  Israel",88,"Israel","total  -  Romance"
"total  -  Thriller  -  Israel",63,"Israel","total  -  Thriller"
"total  -  Action  -  Italy",173,"Italy","total  -  Action"
"total  -  Adventure  -  Italy",89,"Italy","total  -  Adventure"
"total  -  Comedy  -  Italy",179,"Italy","total  -  Comedy"
"total  -  Crime  -  Italy",152,"Italy","total  -  Crime"
"total  -  Drama  -  Italy",375,"Italy","total  -  Drama"
"total  -  Fantasy  -  Italy",40,"Italy","total  -  Fantasy"
"total  -  Horror  -  Italy",36,"Italy","total  -  Horror"
"total  -  Mystery  -  Italy",66,"Italy","total  -  Mystery"
"total  -  Romance  -  Italy",90,"Italy","total  -  Romance"
"total  -  Thriller  -  Italy",50,"Italy","total  -  Thriller"
"total  -  Action  -  Jamaica",219,"Jamaica","total  -  Action"
"total  -  Adventure  -  Jamaica",116,"Jamaica","total  -  Adventure"
"total  -  Animation  -  Jamaica",80,"Jamaica","total  -  Animation"
"total  -  Comedy  -  Jamaica",178,"Jamaica","total  -  Comedy"
"total  -  Crime  -  Jamaica",146,"Jamaica","total  -  Crime"
"total  -  Drama  -  Jamaica",320,"Jamaica","total  -  Drama"
